Angle	Intensity
36.058	2.82E-02
36.075	2.09E-02
36.092	9.23E-03
36.109	8.49E-03
36.126	1.87E-02
36.143	2.16E-02
36.16	1.07E-02
36.177	1.14E-02
36.194	1.28E-02
36.211	1.87E-02
36.228	1.28E-02
36.245	1.42E-02
36.262	2.81E-02
36.279	3.54E-02
36.296	2.65E-02
36.313	2.21E-02
36.33	2.57E-02
36.347	2.50E-02
36.364	2.64E-02
36.381	1.61E-02
36.398	1.16E-02
36.415	2.25E-02
36.432	2.47E-02
36.449	1.73E-02
36.466	2.82E-02
36.483	2.08E-02
36.5	2.66E-02
36.517	8.93E-03
36.534	1.83E-02
36.551	3.00E-02
36.568	1.09E-02
36.585	1.51E-02
36.602	2.16E-02
36.619	1.57E-02
36.636	3.46E-02
36.653	1.84E-02
36.67	1.46E-02
36.687	1.23E-02
36.704	1.80E-02
36.721	3.33E-02
36.738	3.82E-02
36.755	4.91E-02
36.772	2.77E-02
36.789	5.64E-03
36.806	2.16E-02
36.823	1.56E-02
36.84	1.84E-02
36.857	-8.13E-03
36.874	1.44E-02
36.891	9.82E-03
36.908	1.48E-02
36.925	1.09E-02
36.942	4.91E-03
36.959	1.64E-02
36.976	1.33E-02
36.993	2.12E-02
37.01	4.16E-03
37.027	-2.63E-03
37.044	2.50E-02
37.061	1.52E-02
37.078	5.53E-03
37.095	9.70E-03
37.112	6.95E-04
37.129	9.98E-03
37.146	1.93E-02
37.163	1.68E-02
37.18	1.00E-02
37.197	6.84E-03
37.214	2.41E-02
37.231	2.24E-02
37.248	1.34E-02
37.265	1.61E-02
37.282	1.43E-02
37.299	7.48E-03
37.316	1.16E-02
37.333	8.39E-03
37.35	1.03E-02
37.367	1.29E-02
37.384	4.60E-03
37.401	1.45E-02
37.418	1.28E-02
37.435	1.17E-02
37.452	2.64E-03
37.469	8.65E-04
37.486	1.37E-02
37.503	1.41E-02
37.52	1.30E-02
37.537	9.78E-03
37.554	1.68E-02
37.571	1.27E-02
37.588	8.00E-03
37.605	1.20E-02
37.622	1.39E-02
37.639	8.39E-03
37.656	2.19E-02
37.673	1.28E-02
37.69	1.38E-02
